title,genres,rating,revenue,budget,runtime,release_year,vote_count,metascore,studio,language
Movie 043,"Action, Sci-Fi",6.8,624106455.84,51445642.3,155,2000,14310,61.0,Sony,French
Movie 044,Drama,7.2,707038970.42,24391071.59,115,2024,16556,61.0,Warner Bros,Spanish
Movie 045,Sci-Fi,6.7,220834519.89,52418577.24,178,2021,31467,40.0,Paramount,Korean
Movie 046,"Drama, Romance",5.1,145007760.83,145842051.71,131,2019,10206,39.0,Warner Bros,French
Movie 047,Sci-Fi,8.0,24399219.01,171860811.28,155,2024,38057,44.0,Disney,English
Movie 048,Action,5.5,357081683.22,166892873.59,86,2010,2572,46.0,Warner Bros,French
Movie 049,Drama,4.1,594018509.99,82450788.28,108,2004,49959,69.0,Disney,English
Movie 050,Horror,7.6,398321604.65,135276601.63,90,2014,6804,47.0,Universal,English
Movie 051,Drama,5.0,443100172.8,44971937.61,112,2004,3813,84.0,Universal,Spanish
Movie 052,"Drama, Romance",9.2,905117107.55,62163807.4,85,2011,5151,54.0,Sony,Spanish
Movie 053,Horror,9.2,354772912.35,179785484.61,158,2004,10856,88.0,Paramount,Spanish
Movie 054,Action,9.0,518849594.27,7535375.08,111,2016,2575,51.0,Sony,Korean
Movie 055,"Drama, Romance",6.0,785816482.61,21674163.52,130,2016,36478,59.0,Disney,Korean
Movie 056,Comedy,4.1,402577354.5,45537819.75,154,2023,4355,73.0,Sony,Spanish
Movie 057,Sci-Fi,9.1,625865833.23,10173779.76,137,2011,14584,61.0,Warner Bros,Korean
Movie 058,Action,6.4,863740071.66,40379909.84,166,2023,34603,80.0,Disney,French
Movie 059,Sci-Fi,9.3,950025417.42,118693104.39,105,2014,8358,75.0,Universal,French
Movie 060,"Action, Sci-Fi",9.3,155602746.12,87177787.37,177,2014,40847,50.0,Paramount,Korean
Movie 061,Comedy,8.7,927321748.91,179070983.66,125,2005,35296,,Disney,Korean
Movie 062,Comedy,5.6,497195130.15,164401494.54,177,2011,45213,68.0,Disney,French
Movie 063,Action,6.1,265661944.42,71654383.58,108,2019,40294,41.0,Warner Bros,English
Movie 064,Comedy,8.7,464544398.68,55587569.52,83,2017,8633,76.0,Paramount,French
Movie 065,Horror,5.7,980232249.53,79040019.59,160,2013,32681,47.0,Universal,French
Movie 066,Comedy,4.9,497691913.05,120107513.79,178,2001,5349,50.0,Disney,Korean
Movie 067,Sci-Fi,7.1,335464094.18,57272409.96,92,2008,19301,42.0,Disney,French
Movie 068,Sci-Fi,9.1,637066845.77,126709037.03,118,2004,9786,50.0,Warner Bros,Korean
Movie 069,"Drama, Romance",7.8,247744162.59,84835272.18,94,2019,46977,37.0,Sony,Korean
Movie 070,Sci-Fi,7.1,85104694.83,112649200.27,108,2000,32107,75.0,Universal,Spanish
Movie 071,"Drama, Romance",4.5,137590924.69,90044673.18,108,2022,761,36.0,Paramount,French
Movie 072,Sci-Fi,7.4,136765380.57,62420823.11,154,2002,44943,52.0,Disney,English
Movie 073,Horror,9.4,160383666.58,189948394.86,111,2005,30237,51.0,Disney,Spanish
Movie 074,"Drama, Romance",4.8,147438900.92,153903129.86,81,2004,47656,51.0,Universal,Korean
Movie 075,Drama,6.9,644465997.36,32322069.27,126,2020,42928,58.0,Sony,Korean
Movie 076,"Action, Sci-Fi",8.8,190061283.56,174351255.3,157,2004,48704,,Disney,English
Movie 077,Action,8.1,352210610.49,100049083.66,163,2000,10626,31.0,Universal,Korean
Movie 078,Sci-Fi,7.8,897820525.81,179437684.24,101,2016,3474,58.0,Warner Bros,French
Movie 079,Comedy,7.9,479222023.86,160971774.91,154,2018,25692,81.0,Sony,Spanish
Movie 080,Sci-Fi,6.0,670882161.14,87916633.37,106,2013,29082,56.0,Paramount,Korean
Movie 081,Comedy,5.6,180596672.49,9381515.12,146,2011,307,79.0,Disney,Korean
Movie 082,"Action, Sci-Fi",,200366128.62,57392085.08,160,2009,35533,52.0,Universal,English
Movie 083,"Action, Sci-Fi",8.5,50459930.1,110618671.86,135,2019,23297,73.0,Warner Bros,French
Movie 084,"Action, Sci-Fi",8.8,177245712.44,128528252.87,171,2020,33500,51.0,Paramount,Korean
Movie 085,Comedy,9.0,285804435.64,55288098.66,172,2017,3183,72.0,Universal,English
Movie 086,Sci-Fi,6.8,185240379.43,32174434.44,100,2023,29428,66.0,Universal,Korean
Movie 087,"Action, Sci-Fi",6.8,97815508.42,167811396.18,126,2010,46579,90.0,Paramount,English
Movie 088,Horror,8.4,129429512.39,196958425.24,159,2001,42991,85.0,Warner Bros,English
Movie 089,"Drama, Romance",7.6,466170980.35,107509585.55,138,2024,20203,32.0,Warner Bros,French
Movie 090,Comedy,7.9,214270381.22,38477460.74,163,2017,39991,92.0,Sony,Korean
Movie 091,Comedy,8.4,370627162.44,58099928.67,85,2024,10854,,Disney,French
Movie 092,Sci-Fi,8.9,508383098.15,8586181.93,98,2006,34547,52.0,Paramount,English
Movie 093,Comedy,5.9,693490880.34,183288267.28,136,2023,16001,58.0,Paramount,Spanish
Movie 094,Comedy,6.1,48919018.44,27961461.16,148,2014,33104,59.0,Paramount,Korean
Movie 095,"Action, Sci-Fi",4.5,801416294.92,117420712.73,82,2010,7546,68.0,Warner Bros,Spanish
Movie 096,Sci-Fi,,631621385.6,58440768.03,80,2017,37311,54.0,Disney,Korean
Movie 097,"Action, Sci-Fi",4.2,90941441.63,113064710.49,137,2022,48331,37.0,Sony,French
Movie 098,"Drama, Romance",6.6,874842837.87,132026975.73,117,2011,29401,87.0,Universal,French
Movie 099,"Drama, Romance",7.0,921663676.53,166799651.72,94,2005,26216,45.0,Universal,French
Movie 100,"Action, Sci-Fi",5.6,70467180.26,45252147.99,113,2019,41423,30.0,Paramount,French
Movie 101,"Drama, Romance",7.2,284108871.67,7144186.59,140,2022,18852,34.0,Disney,French
Movie 102,Sci-Fi,4.2,808139267.0,31692697.86,114,2012,32476,32.0,Warner Bros,Spanish
Movie 103,Action,4.2,750777093.48,180503635.16,143,2019,16769,94.0,Disney,French
Movie 104,"Action, Sci-Fi",8.5,192675809.16,175408565.12,104,2015,33016,33.0,Disney,English
Movie 105,Horror,6.0,217255830.1,121495554.92,103,2017,13495,93.0,Warner Bros,English
Movie 106,Horror,4.7,376767381.76,122100787.78,91,2009,20521,39.0,Paramount,Spanish
Movie 107,Comedy,6.9,489677755.34,134682151.54,97,2022,26442,50.0,Disney,Korean
Movie 108,"Drama, Romance",8.2,622072223.81,39197399.33,94,2007,4995,75.0,Universal,English
Movie 109,Horror,5.2,375224503.17,183310329.46,159,2017,11123,56.0,Warner Bros,Korean
Movie 110,Comedy,7.4,467909368.97,86660252.35,106,2020,10799,95.0,Sony,Spanish
Movie 111,Action,4.5,749996228.75,79712013.01,151,2000,9815,70.0,Paramount,Korean
Movie 112,Sci-Fi,4.3,46316370.86,106188952.53,139,2022,19269,42.0,Warner Bros,Korean
Movie 113,Sci-Fi,6.9,259912574.9,14158363.52,125,2007,16263,38.0,Sony,Korean
Movie 114,Sci-Fi,7.0,716216090.03,37425256.91,168,2005,5882,65.0,Sony,Korean
Movie 115,Horror,7.5,896254769.31,148916555.2,96,2004,22741,,Disney,Spanish
Movie 116,Action,8.0,516560667.69,21145740.25,172,2014,18892,83.0,Disney,English
Movie 117,Horror,9.4,536792350.41,122614661.35,132,2021,49592,41.0,Disney,French
Movie 118,"Drama, Romance",6.8,116100291.23,52843076.39,87,2014,35685,43.0,Warner Bros,Korean
Movie 119,Horror,5.8,452938243.16,80912644.74,158,2001,30782,63.0,Warner Bros,English
Movie 120,Action,8.4,537291093.79,61295278.67,106,2000,47964,82.0,Paramount,English
Movie 121,Action,5.5,250045798.6,74356179.71,125,2022,18980,49.0,Disney,Spanish
Movie 122,"Drama, Romance",6.4,276550798.64,145213951.51,129,2022,38167,45.0,Sony,English
Movie 123,Action,4.4,383511321.47,62938734.55,150,2010,42785,99.0,Universal,Spanish
Movie 124,Action,4.1,29870485.8,115448904.86,82,2009,18173,85.0,Paramount,Korean
Movie 125,Sci-Fi,9.3,328858373.93,97829828.43,172,2017,36135,87.0,Warner Bros,Korean
Movie 126,"Drama, Romance",8.6,219333526.93,134415877.25,143,2017,37274,33.0,Paramount,French
Movie 127,Drama,7.8,334222378.66,187681799.17,123,2016,24937,33.0,Paramount,French
Movie 128,Drama,6.2,128564510.5,147851558.96,132,2007,17926,49.0,Paramount,French
Movie 129,Action,5.0,891622007.93,46913373.83,103,2014,25081,39.0,Paramount,English
Movie 130,Drama,4.9,597656529.02,11080711.34,139,2007,10482,,Universal,Korean
Movie 131,Drama,5.4,682311295.95,56141488.64,82,2016,4537,55.0,Disney,Spanish
Movie 132,Action,7.0,791279526.22,121040196.49,99,2011,5535,66.0,Sony,French
Movie 133,Drama,7.9,503457776.94,15028033.63,125,2007,24919,83.0,Paramount,Spanish
Movie 134,Horror,,96051085.21,101791418.2,94,2024,36975,50.0,Paramount,Spanish
Movie 135,Comedy,5.5,541735476.4,121384355.54,104,2013,32082,67.0,Paramount,French
Movie 136,"Drama, Romance",9.3,590972706.84,70177558.71,173,2003,33428,75.0,Disney,Korean
Movie 137,Comedy,8.1,747985079.44,155327879.73,157,2000,12429,33.0,Warner Bros,French
Movie 138,Action,7.0,437342950.77,25786659.36,150,2000,25269,89.0,Warner Bros,Spanish
Movie 139,Sci-Fi,7.4,136304499.77,19651867.44,96,2018,22032,86.0,Universal,French
Movie 140,"Drama, Romance",6.3,290938146.74,146996807.46,163,2015,34694,74.0,Warner Bros,Spanish
Movie 141,Action,5.4,369451473.43,101620806.66,179,2013,11521,49.0,Paramount,Spanish
Movie 142,Sci-Fi,6.0,649458068.92,139238467.3,88,2020,45133,46.0,Paramount,French
Movie 143,Comedy,8.2,575070521.62,89791331.03,117,2015,7729,33.0,Paramount,English
Movie 144,Action,4.1,362535758.64,53048396.48,127,2004,8425,43.0,Universal,French
Movie 145,"Drama, Romance",4.6,986650096.31,164724951.95,139,2008,28595,32.0,Paramount,English
Movie 146,"Drama, Romance",4.3,609717071.16,160886096.4,142,2001,31850,87.0,Warner Bros,Spanish
Movie 147,"Action, Sci-Fi",4.2,244854523.82,140465811.82,165,2017,29719,84.0,Disney,Spanish
Movie 148,Horror,8.7,110764647.89,58068301.76,81,2005,40561,33.0,Disney,English
Movie 149,Drama,7.9,161330547.79,120094980.04,167,2008,8364,53.0,Sony,Spanish
Movie 150,Sci-Fi,6.6,253498151.1,75389909.9,151,2000,12786,63.0,Warner Bros,English
Movie 151,"Action, Sci-Fi",4.5,169074559.53,22858504.3,90,2008,46584,59.0,Paramount,English
Movie 152,Drama,6.7,194701353.81,183876147.22,143,2024,24326,48.0,Disney,Spanish
Movie 153,Drama,6.6,292244217.01,31679633.03,156,2015,6821,60.0,Warner Bros,Korean
Movie 154,Action,5.0,181639859.34,190296284.0,160,2012,20709,89.0,Disney,English
Movie 155,Drama,6.4,897797770.38,91971125.73,151,2008,7473,89.0,Paramount,French
Movie 156,Horror,6.2,89431408.21,41100921.12,100,2020,38775,48.0,Disney,French
Movie 157,"Drama, Romance",7.4,529266275.67,110670684.74,97,2012,48995,78.0,Sony,Spanish
Movie 158,"Action, Sci-Fi",7.5,416292858.72,175224438.0,173,2008,29037,92.0,Sony,Korean
Movie 159,Drama,4.2,982554830.74,147783852.85,143,2010,5756,51.0,Disney,Spanish
Movie 160,Action,6.1,120918513.15,162279423.83,161,2003,9084,53.0,Warner Bros,Korean
Movie 161,Horror,7.4,403877043.06,133462756.51,174,2001,30084,59.0,Warner Bros,English
Movie 162,Comedy,6.8,969775728.94,139993930.08,117,2005,8386,87.0,Warner Bros,English
Movie 163,"Drama, Romance",8.7,866852054.64,170593152.06,111,2013,6001,60.0,Disney,English
Movie 164,"Drama, Romance",7.6,818901350.24,53685261.73,90,2003,31652,,Warner Bros,English
Movie 165,"Action, Sci-Fi",4.9,265323798.77,100437867.91,124,2005,25809,48.0,Paramount,French
Movie 166,"Drama, Romance",4.4,179178711.52,48135841.15,168,2018,31155,77.0,Sony,French
Movie 167,Drama,7.5,671956787.73,197595261.56,112,2005,37785,74.0,Paramount,Spanish
Movie 168,Action,4.1,930082229.24,189091571.24,120,2001,8529,84.0,Warner Bros,Korean
Movie 169,"Drama, Romance",7.2,561195264.08,12688228.22,87,2017,14816,84.0,Paramount,English
Movie 170,"Drama, Romance",9.2,575896562.58,142587158.64,90,2012,48663,47.0,Warner Bros,English
Movie 171,Comedy,7.2,287179302.72,185423421.9,165,2008,11238,92.0,Disney,Korean
Movie 172,Comedy,6.1,771798003.86,40212192.3,130,2022,35398,76.0,Paramount,Korean
Movie 173,Sci-Fi,7.5,195173311.07,115749319.96,167,2018,23529,86.0,Disney,Spanish
Movie 174,Horror,6.5,330442444.04,183520218.03,120,2012,5872,74.0,Disney,Korean
Movie 175,Drama,7.0,431182074.23,11619465.82,96,2010,48344,62.0,Universal,English
Movie 176,"Drama, Romance",9.2,512534274.9,140996952.11,155,2000,48619,46.0,Warner Bros,English
Movie 177,"Drama, Romance",6.1,249985635.09,62983056.44,125,2023,35832,99.0,Sony,English
Movie 178,Action,9.3,123688456.49,185257258.1,111,2021,40005,33.0,Warner Bros,English
Movie 179,Sci-Fi,9.0,614513842.02,194356357.81,158,2006,17447,49.0,Sony,English
Movie 180,Horror,5.1,295744247.71,189131965.38,159,2024,17020,76.0,Warner Bros,Spanish
Movie 181,Sci-Fi,4.4,585425839.21,97471772.25,133,2020,31922,44.0,Disney,English
Movie 182,"Action, Sci-Fi",4.6,162819088.12,173098316.94,165,2014,46759,99.0,Paramount,Spanish
Movie 183,Horror,4.1,486328700.84,169687132.71,171,2000,40208,76.0,Paramount,English
Movie 184,"Drama, Romance",4.5,537263538.23,67224592.28,99,2011,23663,38.0,Universal,French
Movie 185,"Drama, Romance",7.8,61305301.45,166638517.46,112,2006,8067,,Sony,French
Movie 186,Horror,4.4,343238235.41,12216488.77,153,2014,45283,98.0,Sony,French
Movie 187,"Drama, Romance",5.8,143070530.17,121272626.3,119,2020,11971,90.0,Sony,French
Movie 188,Drama,8.6,72741220.77,49851723.27,111,2018,28863,39.0,Disney,Spanish
Movie 189,Horror,4.1,990060630.07,28510542.73,176,2024,12016,79.0,Sony,Spanish
Movie 190,Sci-Fi,8.5,329130306.52,20005874.32,81,2000,8834,32.0,Paramount,Korean
Movie 191,Horror,5.6,811775701.4,140776311.3,176,2016,33713,99.0,Disney,English
Movie 192,"Drama, Romance",,262094248.22,71275617.93,112,2016,28279,80.0,Warner Bros,French
Movie 193,Drama,7.8,684687695.0,146329520.45,156,2002,35362,48.0,Sony,Spanish
Movie 194,Drama,7.5,762625581.29,17744486.46,109,2011,12777,71.0,Sony,English
Movie 195,"Action, Sci-Fi",8.8,599682353.2,66481615.88,112,2005,18368,64.0,Warner Bros,English
Movie 196,Sci-Fi,8.0,476860426.66,110200802.01,156,2010,12430,75.0,Sony,Spanish
Movie 197,Comedy,8.4,417722505.01,159191017.14,105,2002,20833,55.0,Warner Bros,French
Movie 198,Comedy,5.6,355379583.88,67156738.07,101,2007,38047,98.0,Disney,Korean
Movie 199,Horror,5.0,930233852.81,127048818.41,145,2013,27386,93.0,Paramount,English
Movie 200,"Action, Sci-Fi",8.1,832313213.71,177765660.91,117,2013,6710,66.0,Warner Bros,Korean
Movie 201,Action,8.4,965376641.56,125093321.7,169,2009,6530,78.0,Universal,French
Movie 202,Horror,9.4,133054251.25,50427097.58,125,2001,40022,50.0,Warner Bros,French
Movie 203,"Action, Sci-Fi",6.3,733558800.45,9758152.4,94,2013,13928,93.0,Sony,Korean
Movie 204,Sci-Fi,6.0,938957052.25,174669280.41,177,2008,43013,34.0,Disney,French
Movie 205,Sci-Fi,8.3,189420735.5,9147535.12,123,2002,31597,99.0,Disney,English
Movie 206,Sci-Fi,5.9,75831304.69,175566826.17,128,2020,39356,33.0,Warner Bros,Korean
Movie 207,Sci-Fi,9.1,743709442.8,108142741.14,154,2007,36718,68.0,Paramount,French
Movie 208,Sci-Fi,8.7,578728382.05,188118201.21,140,2015,49941,64.0,Universal,Korean
Movie 209,"Action, Sci-Fi",6.4,843410488.99,160762730.98,146,2001,46432,30.0,Disney,English
Movie 210,"Action, Sci-Fi",8.1,148374652.86,199597151.55,85,2005,26626,53.0,Sony,French
Movie 211,Drama,8.1,797314638.74,73388804.01,88,2020,30258,86.0,Sony,English
Movie 212,Comedy,4.6,209611046.85,154601716.34,85,2024,25132,99.0,Paramount,French
Movie 213,"Drama, Romance",9.0,172019383.44,83376528.15,152,2011,37946,70.0,Disney,Spanish
Movie 214,Sci-Fi,6.8,172623139.95,98575745.96,174,2004,45036,83.0,Warner Bros,French
Movie 215,Action,8.5,816428973.03,127363565.33,111,2001,29894,75.0,Sony,Korean
Movie 216,"Drama, Romance",5.8,668545248.49,175367037.27,120,2015,5548,89.0,Paramount,French
Movie 217,"Action, Sci-Fi",,527834770.52,196896276.49,155,2004,28961,89.0,Disney,English
Movie 218,Action,6.1,365242179.28,154813315.7,87,2014,28241,86.0,Disney,English
Movie 219,Action,4.1,878428535.4,86464522.52,151,2011,9174,60.0,Disney,French
Movie 220,Action,9.0,398520656.35,87164615.44,129,2003,6506,53.0,Disney,Korean
Movie 221,Drama,4.5,818433445.08,148828548.81,171,2014,31923,65.0,Disney,Spanish
Movie 222,"Action, Sci-Fi",5.8,444743559.48,51561543.42,141,2010,23391,59.0,Sony,Korean
Movie 223,Action,9.2,383174985.13,26542452.06,163,2015,41668,53.0,Paramount,Spanish
Movie 224,Sci-Fi,9.2,468052987.81,74151320.74,141,2022,32103,59.0,Disney,English
Movie 225,Horror,7.2,308364095.42,61011603.37,86,2005,46951,36.0,Universal,Korean
Movie 226,Action,7.5,750133286.37,62780083.49,154,2013,34506,64.0,Universal,Spanish
Movie 227,Drama,6.5,507693186.19,50553511.45,163,2017,23412,84.0,Paramount,French
Movie 228,"Drama, Romance",5.6,239890568.2,13208171.98,159,2011,43208,43.0,Warner Bros,English
Movie 229,"Action, Sci-Fi",,900578827.54,8485417.27,83,2010,1482,39.0,Warner Bros,French
Movie 230,Drama,7.7,390052309.16,197605866.0,85,2012,34271,45.0,Warner Bros,English
Movie 231,Action,8.1,548117332.5,88415761.08,137,2020,41879,83.0,Universal,Korean
Movie 232,"Action, Sci-Fi",,907407389.85,79943696.2,101,2022,3392,99.0,Warner Bros,Korean
Movie 233,Horror,8.3,627995615.95,137531220.13,105,2010,41879,73.0,Sony,English
Movie 234,Action,4.5,125729060.3,47559508.13,82,2022,33287,74.0,Disney,English
Movie 235,Drama,6.7,940433802.38,190242430.87,120,2015,12511,85.0,Universal,English
Movie 236,Comedy,4.3,631430972.54,158337277.81,139,2014,37385,86.0,Paramount,Korean
Movie 237,Sci-Fi,7.0,341556558.51,22435145.45,93,2020,15522,50.0,Paramount,Spanish
Movie 238,"Drama, Romance",6.4,147879351.94,86428251.28,154,2014,42568,,Disney,French
Movie 239,Drama,8.9,796084937.38,176428069.97,161,2024,32471,79.0,Universal,French
Movie 240,"Action, Sci-Fi",5.9,623872028.37,189222744.35,91,2003,5793,62.0,Warner Bros,Korean
Movie 241,Action,4.6,538126481.06,96143294.69,166,2010,33635,36.0,Warner Bros,French
Movie 242,Sci-Fi,,894953657.22,124615220.9,91,2018,14918,99.0,Sony,English
Movie 243,Action,8.2,790711239.11,37571619.49,92,2014,31338,44.0,Sony,Spanish
Movie 244,"Action, Sci-Fi",7.4,160158130.94,198277882.1,104,2003,30974,61.0,Warner Bros,French
Movie 245,Action,4.6,318604847.12,50175981.77,124,2020,26815,49.0,Paramount,Spanish
Movie 246,Comedy,4.5,256004248.42,188832695.96,98,2012,27705,44.0,Paramount,English
Movie 247,Sci-Fi,7.9,746506829.65,131681096.55,134,2021,34417,77.0,Sony,French
Movie 248,Sci-Fi,,43197110.39,123508675.0,179,2018,31274,,Disney,Korean
Movie 249,"Action, Sci-Fi",8.5,574190788.02,104974259.65,124,2001,10056,71.0,Warner Bros,Spanish
Movie 250,"Drama, Romance",7.9,764834098.88,49980613.28,87,2013,39008,55.0,Sony,English
Movie 251,Comedy,4.4,877997980.39,39422966.24,172,2003,10937,43.0,Sony,Spanish
Movie 252,Drama,4.5,348660931.23,47994810.77,132,2015,3816,86.0,Warner Bros,French
Movie 253,Action,9.4,823044731.63,41355461.12,134,2020,4581,66.0,Warner Bros,French
Movie 254,Horror,6.1,119525419.59,157018972.35,111,2019,24382,,Paramount,Korean
Movie 255,Action,,847987768.82,73274425.54,130,2013,6648,50.0,Disney,English
Movie 256,Action,8.5,136213775.71,16279321.93,123,2014,37705,98.0,Disney,English
Movie 257,Drama,9.2,403314417.65,193975012.88,161,2002,7858,32.0,Warner Bros,Korean
Movie 258,Action,9.4,799322412.12,177338247.57,149,2007,43768,66.0,Universal,Korean
Movie 259,Comedy,8.1,158418253.08,185911695.22,97,2015,23277,78.0,Sony,English
Movie 260,Comedy,6.1,236958881.28,199007025.42,162,2009,24122,48.0,Sony,Spanish
Movie 261,Sci-Fi,4.5,725030042.71,38909573.6,101,2003,40861,41.0,Warner Bros,Spanish
Movie 262,"Action, Sci-Fi",8.3,722836171.18,82267193.69,116,2017,5642,90.0,Universal,Korean
Movie 263,"Drama, Romance",,644736156.56,152856502.76,175,2001,25576,70.0,Paramount,Spanish
Movie 264,Horror,6.3,697008960.02,140724020.52,135,2016,30884,62.0,Warner Bros,English
Movie 265,Action,9.0,547297198.91,35009701.74,138,2012,22840,79.0,Warner Bros,French
Movie 266,Action,4.6,259281068.32,164087459.37,82,2003,24917,97.0,Sony,French
Movie 267,Drama,6.7,352239033.57,48765911.51,107,2024,47696,62.0,Warner Bros,Spanish
Movie 268,"Action, Sci-Fi",,189781739.63,48644434.89,153,2010,16152,53.0,Warner Bros,Korean
Movie 269,Comedy,6.6,909366055.72,109710012.46,114,2006,35253,90.0,Warner Bros,Korean
Movie 270,Horror,4.3,587557876.82,120623287.29,140,2011,47176,,Sony,Korean
Movie 271,Sci-Fi,4.7,406842902.6,118116810.53,172,2009,771,57.0,Paramount,Korean
Movie 272,Comedy,4.6,467385745.61,22839933.29,133,2006,263,,Paramount,Korean
Movie 273,"Action, Sci-Fi",7.6,947810506.22,176104868.21,142,2012,41524,72.0,Warner Bros,Spanish
Movie 274,"Drama, Romance",8.1,161817889.08,56792008.3,158,2006,44102,70.0,Sony,French
Movie 275,Sci-Fi,7.2,590367533.7,30255409.65,176,2023,4895,68.0,Paramount,French
Movie 276,"Drama, Romance",9.3,510829792.1,178305875.57,86,2016,10734,78.0,Paramount,Spanish
Movie 277,Drama,6.1,615339693.08,191352042.15,155,2009,4898,46.0,Paramount,Korean
Movie 278,Drama,5.6,27929081.98,173114885.37,128,2009,22520,99.0,Sony,Spanish
Movie 279,Action,8.8,873402669.85,162855634.57,173,2023,29400,99.0,Sony,French
Movie 280,"Drama, Romance",5.2,932797099.66,132772186.22,164,2003,24445,94.0,Warner Bros,English
Movie 281,"Action, Sci-Fi",9.3,569481851.75,112417187.27,110,2019,10849,34.0,Disney,Spanish
Movie 282,Horror,4.1,699684315.64,21962418.18,137,2003,38695,31.0,Paramount,Korean
Movie 283,Sci-Fi,9.3,923274387.37,84648376.55,140,2021,25221,51.0,Disney,French
Movie 284,Comedy,4.2,710166247.97,77674260.82,103,2006,37587,86.0,Sony,French
Movie 285,"Action, Sci-Fi",8.9,161013652.49,55651987.83,99,2021,28511,95.0,Sony,French
Movie 286,"Action, Sci-Fi",6.9,580525476.57,146066922.17,116,2000,33461,45.0,Sony,French
Movie 287,Drama,9.5,610647895.92,101695768.34,83,2011,21323,80.0,Disney,Korean
